"id","msg_id","chat_id","group_id","content","is_active","created_at","updated_at"
"1","2551185408","-1002023548568","-1002023548568","**Upakovka bo'yicha ish o'rni ?**\n\n**Maosh: 3 000 000 so'mdan 5 000 000 so'mgacha**\n**Qo'shimcha imkoniyatlar: Oila bilan ishlasa bo'ladi\nYotoqxona va tushlik bilan ta'minlanadi**\n\n**Tashkilot nomi: Dekor Plastik cex\nIsh joyi: Toshkent Algoritm Raycentr\n**\n**Lavozim haqida qisqacha ma'lumot:**\nDekor Plastik cexida upakovka bo'yicha ish o'rinlari mavjud. 18 yoshdan 40 yoshgacha bo'lgan xodimlar qabul qilinadi. Yotoqxona va tushlik ta'minlanadi.\n\n**Asosiy talablar:**\n**Yosh:** 18-40 yosh\n**Ko'nikmalar:** Upakovka ishlarini amalga oshirish\n\n**Majburiyatlar:**\nUpakovka ishlarini bajarish\n\n**Aloqa uchun ma'lumotlar:**\nTelefon: +998909448118\n\n#upakovka \n#ID474\n**\n? **@ish_keremi**@ish_keremi**** - ish va ishchi topish uchun eng yaxshi tanlov!\n\nReklama va e'lon joylashtirish uchun: **@ishkeremi_admin**@ishkeremi_admin**","0","2024-09-21 10:21:42","2024-09-21 10:21:42"
"2","4435476480","-1001816081912","-1001816081912","??QIZIQIB KORING??#Ishga_taklif_qilamiz\n\n??? ?????? ??????? ????????? ??? ???????????????? ???? ?? ???????? ???? ?????? ???????.\n\n????? ?????: 12 ??????\n\n??????? ?????????? ????????? #Ishga_taklif_qilamiz\n\n??? ?????? ??????? ????????? ??? ???????????????? ???? ?? ???????? ???? ?????? ???????.\n\n????? ?????: 12 ??????\n\n??????? ?????????? ????????? ??????.\n\n????? ????: \n???????? 300 ???? 400 ???? ????????\n??????? 9.000.000 ??? 15.000.000 ????\n\n??? ????????: 20-????? 35-??????\n\n???? ?? ??????? ????: ?? ????? \n\n????????????:áá ????? ????????? ???. \n\n???????: ??????T\n\n???? ????\n?? ?????? 300 ???? 400 ???? ????????\n??????? 9.000.000 ??? 15.000.000 ????\n\n??? ????????: 20-????? 35-??????\n\n???? ?? ??????? ????: ?? ????? \n\n????????????:áá ????? ????????? ???. \n\n???????: ???????\n\n?MUROJAT UCHUN \n+998997943595\n\n??????????? ?????.","0","2024-09-21 10:21:42","2024-09-21 10:21:42"
"3","13958643712","-1001481109592","-1001481109592","? Ish joyi:  Maxima Ecoplast\n  ò Kerakli ishchi - ?????????? ?????? ????? ??????? ?????? ???? \n  ò Soni - 4 ????\n  ò Yoshi - 18 ??? 30 ????\n  ò Jinsi - ?????\n  ò Tajribasi - ????? ????\n? Qo?shimcha ma?lumotlar: \n?????????? ????? ??????? ?????? ????? ??????? ?????\n\n\n? Ish vaqti: 8 ??? 20;00 ????\n? Maosh: 3 ??? ??? 6 ??? ????\n? Manzil:???????? ?????? ?????? ????????? ( ???? ????? ????? ??????)\n\n?Murojaat uchun\nTel:+998971051117 ????????","0","2024-09-21 10:21:42","2024-09-21 10:21:42"
"4","85983232","-1002007044766","-1002007044766","EVERMORE CO MCHJ KORXONASI YIGIT VA QIZLARNI ISHGA TAKLIF ETADI.\n\n(Atir Sovun va shampun ishlab chiqarish korxonasi)\n\nYashash manzili: Toshkent shahar hamda Toshkent viloyati (yotoqxonasi yoq)\n\nYosh chegarasi: 20-35\n\nMaxsus kiyimlar Korxona hisobidan beriladi\n\nKorxona hisobidan tushlik beriladi\n\nIsh Vaqti: 9:00 18:30 gacha\n\nIsh haqqi Erkak kishiga (2 500 000 som dan 3 500 000 som gacha)\n\nIsh haqqi Ayol kishiga (2 200 000 som dan 2 500 000 som gacha)\n\nOylik ish tajribasiga qarab kelishiladi\n\nBo'sh ish o'rinlari\n\nMaxsulot Qadoqlash (ishchi) ayollarga hos\n\nMaster-Operator Stanok ochirib yoqish qolip nastroyka qilish boyicha mutaxasis erkaklarga hos\n\nOperator telefonda javob beradigan hodim emas!\n\nOqishda oqidigan Studentlar ishga qabul qilinmaydi !!!\n\nManzil: Toshkent shahri Sergili 4 tumani sugdiona kochasi 21uy (Moljal TURON UN ZAVODI - PRO KAB ZAVODI\n\nMurojaat uchun +998 93 064 48 44\n                            +998 97-748-87-50","0","2024-09-21 10:21:42","2024-09-21 10:21:42"
"5","4865392640","-1001979670461","-1001979670461","Toshkent\nUy hizmatchisi kerak\n18-40 yosh \ntajribaga ega \nTalab: uy ishlari\nTozalash va uyni parvarish qilish uchun kimyoviy moddalar va materiallar bilan ishlash qobiliyatiga ega,\nTaom pishirishni biladigan\nMas'uliyatli\nIsh joida kolib ishlash 6/1\nMaoshi 4 000 000 so'mdan 6 000 000 so'mgacha ish sifatiga qarab \n@Chopard9999 telegram ga o'zingiz haqingizda surat bilan malumot yuborishingiz mumkin","0","2024-09-21 10:21:42","2024-09-21 10:21:42"
"6","4436525056","-1001816081912","-1001816081912","?????????? ????? ?????? ???? ?????? ???????!!!!\n\n?????á ?? ??????????á ??????????? ????? ??????? ??????á ??????????? ???, ???? ??????? ??á ?????? ??????? ??????? ?? ??? ???? 6 ?? ????.\n?????? 2 ??? ???? .\n??????: ??????? ?. ????? ""???????"" ???? ?. ???????\n\n?????? ????????? !!\n\n????? ????? ??????? ?? ..\n\n??????? ??????? ???????????? ????? ???? ?????? ???????.\n?????????? ?????? ???????? ?????????????? ?????? ???????:\n- ?????? (??????)\n- ????????? \n- ???????? ?? ??????? ?????\n- ????? (?????, ?????)\n- ????? (?????).\n\n?? ????? ?? ????? ???? ?????????? ?????.\n\n? ????? ????: 3.700 000 ??? ?????????; \n\n? ???????????? ????? ????? ?????? ????????; \n\n? ?? ?????: 8:00 ??? 20:00 ????\n\n????????? ??????????? ????????: \n? ?? ???????? 22-40 ??; \n? ?? ??????? ?????????? ?????????????; \n\n\n? ??????????? ??? ?????????, ????????? ??????????? ???????? ??????. \n\n???????!!! \n??? ??, ???? ?? ????? ????????????, ???????? ?? ???????????? ????? ????. \n\n??? ????? 9:00 ??? 22:00 ???? ?????????, ???? ?????? ??????? ???????.... \n\nááááááááááááááááááááá\n?? +998935690808","0","2024-09-21 10:21:42","2024-09-21 10:21:42"
"7","84934656","-1002007044766","-1002007044766","EVERMORE CO MCHJ KORXONASI YIGIT VA QIZLARNI ISHGA TAKLIF ETADI.\n\n(Atir Sovun va shampun ishlab chiqarish korxonasi)\n\nYashash manzili: Toshkent shahar hamda Toshkent viloyati (yotoqxonasi yoq)\n\nYosh chegarasi: 20-35\n\nMaxsus kiyimlar Korxona hisobidan beriladi\n\nKorxona hisobidan tushlik beriladi\n\nIsh Vaqti: 9:00 18:30 gacha\n\nIsh haqqi Erkak kishiga (2 500 000 som dan 3 500 000 som gacha)\n\nIsh haqqi Ayol kishiga (2 200 000 som dan 2 500 000 som gacha)\n\nOylik ish tajribasiga qarab kelishiladi\n\nBo'sh ish o'rinlari\n\nMaxsulot Qadoqlash (ishchi) ayollarga hos\n\nMaster-Operator Stanok ochirib yoqish qolip nastroyka qilish boyicha mutaxasis erkaklarga hos\n\nOperator telefonda javob beradigan hodim emas!\n\nOqishda oqidigan Studentlar ishga qabul qilinmaydi !!!\n\nManzil: Toshkent shahri Sergili 4 tumani sugdiona kochasi 21uy (Moljal TURON UN ZAVODI - PRO KAB ZAVODI\n\nMurojaat uchun +998 93 064 48 44\n                            +998 97-748-87-50","0","2024-09-21 10:21:42","2024-09-21 10:21:42"
"8","10303307776","-1002104558721","-1001398375143","Assalomu alaykum.\nIshlab chiqarish korxonasiga ERKAKlarni \nISHGA TAKLIF QILAMIZA.\nYoshi 18 dan 30 yoshgacha \nOylik 3 mln dan 6 mln gacha.\nJoylashgan joyimiz Nazarbekda\nTo?liq ma?lumotlarni telegramdan olishingiz mumkin.\nMalumot uchun\ntelefon, 99-995-82-12 \ntelegram, @ishga_olish_01","0","2024-09-21 10:21:42","2024-09-21 10:21:42"
"9","4437573632","-1001816081912","-1001816081912","????ISHGA TAKLIF ETAMIZ ????\n Samarqand  Siti yonida Joylashgan Magazinlarga\n\n  ò Yosh chegarasi (18-25 gacha \n\n  ò Jinsi ayol qizlar\n\n  ò Til bilishi  shart emas\n\n? Vazifalar:\n\nò ishga mas?uliyatli chaqqon bulishi kerak o?z ustiga ishlaydigan qizlar busin\n\n? Qulayliklar:\n\nò Yotoq - joyi (bor)\n\nò Tushlik 3 mahal issiq ovqat beriladi.\n\n? Ish vaqti: 9 dan 21 gacha\n? Maosh: 2 000 000 mln zo?r savdo qilganlar 500 ming avans oladi bonus.\n? Manzil:ásamarqand viloyati Samarqand sitiy tug'risida\n? Aloqa uchun: +998915505274\n\nTelegramdan rezume tashab tashlab berasiz? Malumotlarlaringizni tashlab berasiz","0","2024-09-21 10:21:42","2024-09-21 10:21:42"
"10","10304356352","-1002104558721","-1001398375143","Sotuv ofisiga qiz bola kerak\nRustilini ravon biluvchi\nYoshi 18 35 yoshgacha \nOylik 3.500.000\nIshga qarab oylik kutariladi\nQolgan malumot telda \n93 176.54.57","0","2024-09-21 10:21:42","2024-09-21 10:21:42"
