"id","chat_id","group_id","username","title","description","member_count","is_active","created_at","updated_at"
"1","-1001721874224","1721874224","ISHTOP.UZ","ishtopuz_rasmiy","?? 0006658195-????? ????????? ??????? ??????? ????????\n\n?Professional darajada e'lon joylashtirish hizmati\n\nBiz haqimizda ?@katalog_ishtop \n\nADMIN 24/7: @ishtop_admin \n\n? instagram.com/ishtop.uz","37868","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"2","-1002139331224","2139331224","Ishtopar.uz","ishtoparkanal","Orzungizdagi ish va kompaniyangiz rivojiga hissa qo?shuvchi xodimni topishga yordam beramiz.\nIshtopar.uzû minglab vakansiyalar bir yerda! \n\nE'lon joylash uchun: \n@ishtoparadmin","42532","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"3","-1002148965841","2148965841","ISH QIDIRING | ISHLAR","ish_qidiring","Biz bilan ishchi toping va ish toping.\n\nElon joylash uchun: @ishqidiring_admin","49374","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"4","-1001883760767","1883760767","?? ??? ????????? | ISH BOR ANDIJONDA","ish_bor_andijo","Assalomu Allekum Raxmatillohu va Borakatuxu\n\nin sha Allah xar doyim xizmatdamiz\n\nMurojat uchun admin. @MuxammadYusufbek\n\nTel +998-99-722-57-51","106491","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"5","-1002012205746","2012205746","ISHBOR","vakansiya_bor_kerak_toshkent","????? ????? ????? ??????\n? @ishboruz_elon\n\n? NATIJALAR - @ishbor_otziv\n\n\n? Xush kelibsiz ??\nKanalimizda siz oæzingizga mos ish yoki ishchilar topasiz. \n\n? https://t.me/+hm6Ihq9d7okxNTZi","1050764","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"6","-1001731669154","1731669154","Uzworks.uz - Jobs In Tashkent","rabota_vakansiya_toshkent_ishlar","???? ??????????? ?????????: @Shamsiddin_Abduqodirov\n\n ?????? ??????? ???? ????????, ????????? ?????????? ????? ?????, ??????????? ??? ?????????????? ??? ?? ???????? ????? ?????????? ????? ??????? ???????? ?????.","45428","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"7","-1002104558721","2104558721","ISHBOR","Toshkent_ishchi_kerak_bor_ishbor","KANALIMIZGA E'LON JOYLASHTIRISH PULLIK\n\nADMIN: @Caeol_Admin","102177","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"8","-1001713513036","1713513036","Jobmarket.uz | digital jobs???","jobmarket_uz","?? Vakansiya rezyume yoki reklama masalasida Admin bilan bog'laning ? @G0ADS \n\nò Vakansiya shabloni û @jobmarketuz \n\nò Siz bilan ? @Sardor3ek'da fikrlashamiz*\n\nò Reklama uchun ? @Coorparation","18386","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"9","-1002023548568","2023548568","ISH KEREMI? ??","ish_keremi","O'zbekistondagi birinchi raqamli vakansiya kanali??\n\nKanal ?0006648768 sonli guvohnoma asosida qonuniy faoliyat olib boradi.\n\nNatijalar - @ishkeremi_otziv\n\n\nE?lon joylashtirish uchun ù @ishkeremi_admin (24/7) aloqada!","81793","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"10","-1001533364359","1533364359","ISH BOR","TOSHKENTDA_ISHTOP_ISH_QIDIRISH","KANALIMIZGA E'LON JOYLASHTIRISH PULLIK\n\nADMIN: @Caeol_Admin","7583","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"11","-1001663988567","1663988567","FARGONA ISH BOR","Fargona_ish_bor_ishlar","?????? ????? ????? @Ferjobads ?? ?????\n\n?NATIJALAR ù @fargonaish_otziv\n\n?Ish beruvchi va xodim o?rtasida zamonaviy ko?prik quramiz!\n\n\n\n\n\n#fargona_ish_bor #Fargona #ishbor #rabota","100220","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"12","-1001344398281","1344398281","TOSHKENT ISH BOR","toshkent_ish_kerak_elon","??? Admin: @Numonov_HR\n? Eælon narxlari: @ishboruz_robot\n\n? instagram.com/_bandlik\n\n\n @bandlik","27189","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"13","-1001342861345","1342861345","Freelance UZB | Vakansiya | Rezyume","freelance_uzb","??? IT mutaxassislari va biznes egalari uchun masofadan ish berish va ish topish platformasi!\n\n?? Murojaat uchun: @freelance_uzb_admin\n\nò Reklama: http://t.me/techno_ads/396\n\nò Shaxsiy blog: @Jamshidbek_Qayumov\n\n⌐? Powered by @novqa_group","22078","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"14","-1001899862585","1899862585","IT ish o'rinlari (IT va Dizayn)","ITPark_ish","Adminga murojaat\n@qodir1017\n\nReklama xizmati\n\n\nButun O'zbekiston bo'yicha ish beruvchi va xodimni uchrashtiramiz. Hammamizning ishimizga omad yor bo'lsin.\n\nEndilikda IT o'quv markazlari ham e'lon joylashlari mumkin","741","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"15","-1001816081912","1816081912","ISH BORMI?","Sevgi_va_dostlik_tanishuvlar_oz","?  ??? ??????? ?? ????? ???????? ??? ????????.\n\n???????? ?????: @Tez_ish_admin ??","94944","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"16","-1001979670461","1979670461","VAKANSIYA ISH BOR","vakansiya_ish_bor_tez","????? ????? ????  ??\n? @Rek_elon_admin ?? ?????\n\nFiribgarlar kop ishonmang. Ishonchli admin bitta?\n\n? Xush kelibsiz ??\nKanalimizda siz oæzingizga mos ish yoki ishchilar topasiz. \nXar xil buyumlar oldi-sotdi reklamasini joylashingiz","20511","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"17","-1001481109592","1481109592","ISHGA TAKLIF ELON ?","Ishga_marhamat_elonlari","? ????? ????? ????!\n\n? @ISHBORMI_ADMIN ?? ????\n\n? ????????? ??????:\n- ????????????????? ????? \n?????????????? ????? ?? ??????????;\n- ?????? ??????????? ?? ?????? ?????????????? ????????? ??? ????? ??????? ??? ?? ???????? ?????? ??????a? ????? ????????.","122090","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"18","-1001266437419","1266437419","IT Jobs, Tashkent","itjobstashkent","Find a job and recruit personnel in the information technology area in Tashkent.\n\nPublication is available on a PAID basis. Subscription purchase, advertisement: @el_grapo.\n\nRules, info: https://bit.ly/2T2qvb5","12355","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"19","-1001264788760","1264788760","UzAutoJobs | ??? ?? ???????? (??????)","uzautojobs_uz","Telegram bot: @Uzautojobs_bot\nInternet sayt: uzautojobs.uz","50272","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"20","-1001369116843","1369116843","UzDev Jobs û IT Jobs","uzdev_jobs","IT ???????? (IT Jobs) ???????????\n\n??? ?????????? ???????? ? ??????? ???????????:\n@khan_dev\n\n\n??? ???: @UzDevGroup\nIT ??????? ? ???????: @UzDev","22210","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
"21","-1001381301590","1381301590","Uzbekistan IT Jobs","ITjobs_Uzbekistan","????? ????? ?????????? ???????? ? ????? ?? ?. ??????? ? ???????????. \n\n? ??????? ?????? / Guruh qoidalari! | https://bit.ly/31YZz0m\n\n?????????? ???????? ? ??????: @UzITjobs_bot\n\n???????: \n@ITjobs_Uzbekistan\n@ITresume_Uzbekistan\n@Job_HUB","1688","1","2024-10-12 23:05:37","2024-10-12 23:05:37"
